scenario_type,difficulty,seed,total_reward,root_cause_accuracy,process_quality,damage_audit,boss_score,primary_reward,buddy_reward,step_count,policy
cascading_retry_storm,easy,106011,0.8272,1.0,0.895,1.0,0.7572,0.8072,0.8072,0,expert (scripted)
cascading_retry_storm,easy,106012,0.8272,1.0,0.895,1.0,0.7572,0.8072,0.8072,0,expert (scripted)
cascading_retry_storm,easy,106013,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
cascading_retry_storm,easy,106014,0.8272,1.0,0.895,1.0,0.7572,0.8072,0.8072,0,expert (scripted)
cascading_retry_storm,easy,106015,0.8272,1.0,0.895,1.0,0.7572,0.8072,0.8072,0,expert (scripted)
cascading_retry_storm,easy,106016,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
cascading_retry_storm,easy,106017,0.8272,1.0,0.895,1.0,0.7572,0.8072,0.8072,0,expert (scripted)
config_drift,easy,107000,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107001,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107002,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107003,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107004,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107005,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107006,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107007,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107008,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107009,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107010,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107011,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107012,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107013,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107014,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107015,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107016,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
config_drift,easy,107017,0.8324,1.0,0.925,1.0,0.7624,0.8124,0.8124,0,expert (scripted)
memory_leak,medium,114000,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114001,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114002,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114003,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114004,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114005,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114006,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114007,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
